=1	=1	=1	=1
32	0	0	R
=2	=2	=2	=2
32	0	0	R
=3	=3	=3	=3
32	0	0	R
=4	=4	=4	=4
32	0	0	R
=5	=5	=5	=5
32	0	0	R
=6	=6	=6	=6
32	0	0	R
=7	=7	=7	=7
32	0	0	R
=8	=8	=8	=8
32	0	0	R
=9	=9	=9	=9
32	0	0	R
=10	=10	=10	=10
32	0	0	R
=11	=11	=11	=11
32	0	0	R
=12	=12	=12	=12
32	0	0	R
=13	=13	=13	=13
32	0	0	R
=14	=14	=14	=14
32	0	0	R
=15	=15	=15	=15
32	0	0	R
=16	=16	=16	=16
32	0	0	R
=17	=17	=17	=17
1	0	0	R
2	0	0	R
4	0	0	R
16	0	0	R
*>Verse1	*>Verse1	*>Verse1	*>Verse1
24	1	0	Ma
=18	=18	=18	=18
8	0	0	R
16	0	0	rue
4	0	0	R
4	0	0	R
4	0	0	est
2	0	0	bou-
4	0	0	-rrée
4	0	0	de
=19	=19	=19	=19
2	0	1	vices
4	2	0	A
4	0	0	cha-
2	0	0	-cun
20	0	0	ses
24	0	0	dé-
=20	=20	=20	=20
8	0	0	R
20	0	1	-lices
4	2	0	A
24	0	0	cha-
28	0	0	-cun
4	0	0	sa
8	0	0	8.
=21	=21	=21	=21
4	0	0	R
8	0	1	6
2	0	0	R
2	0	0	R
4	1	0	Dans
4	0	0	ma
=22	=22	=22	=22
2	0	0	rue
4	0	0	R
4	0	0	les
2	0	0	las-
2	0	0	-cars
=23	=23	=23	=23
20	0	0	se
32	0	0	serrent
20	0	0	la
2	0	0	main
4	2	0	Ce
4	0	0	n'est
=24	=24	=24	=24
4	0	0	pas
4	0	0	comme
4	0	0	dans
4	0	0	l'show-
2	0	1	-biz
4	2	0	Où
4	0	0	les
=25	=25	=25	=25
4	0	0	mecs
4	0	0	se
4	0	0	font
4	0	0	la
2	0	1	bise
4	1	0	Dans
4	0	0	ma
=26	=26	=26	=26
2	0	0	rue
4	0	0	R
4	0	0	les
4	0	0	chi-
16	0	0	-nois
20	0	0	s'en-
=27	=27	=27	=27
20	0	0	-traident
32	0	0	et
20	0	0	se
20	0	0	tiennent
16	0	0	pas
20	0	0	la
=28	=28	=28	=28
10	0	1	main
12	1	0	Les
4	0	0	you-
16	0	0	-pins
12	0	0	s'é-
=29	=29	=29	=29
4	0	0	-clatent
16	0	0	et
12	0	0	font
4	0	0	des
16	0	0	ma-
20	0	0	-ga-
=30	=30	=30	=30
2	0	1	-sins
4	0	0	R
4	1	0	Et
20	0	0	tous
32	0	0	les
12	0	0	las-
=31	=31	=31	=31
2	0	0	-cars
2	0	0	fument
4	0	0	sur
12	0	0	les
4	0	0	memes
=32	=32	=32	=32
8	0	0	R
16	0	1	joints
4	0	0	R
2	0	0	R
4	0	0	R
16	0	0	R
*>Verse2	*>Verse2	*>Verse2	*>Verse2
20	1	0	Dans
4	0	0	ma
=33	=33	=33	=33
16	0	0	R
16	0	0	rue
8	0	0	R
4	0	0	R
2	0	0	R
4	0	0	R
*>Verse3	*>Verse3	*>Verse3	*>Verse3
16	1	0	C'est
20	0	0	une
=34	=34	=34	=34
2	0	0	pub
2	0	0	R
2	0	0	pour
2	0	0	R
=35	=35	=35	=35
4	0	0	R
16	0	0	R
32	0	0	Be-
12	0	0	-ne-
6	0	1	-tton
4	1	0	Et
=36	=36	=36	=36
2	0	0	tout
4	0	0	l'monde
4	0	0	é-
2	0	0	-coute
4	0	0	R
4	0	0	les
=37	=37	=37	=37
2	0	0	memes
4	0	1	sons
4	0	0	à
2	0	1	fond
4	0	0	R
8	1	0	Man-
=38	=38	=38	=38
4	0	0	R
4	0	0	-geurs
4	0	0	de
4	0	0	ca-
2	0	0	-chère
4	0	0	R
4	0	0	ou
=39	=39	=39	=39
4	0	0	de
12	0	0	sau-
12	0	0	-ci-
16	0	1	-sson
4	0	0	R
2	0	0	R
=40	=40	=40	=40
2	0	0	ouah
2	0	0	R
4	0	0	R
12	1	0	Dans
12	0	0	ma
=41	=41	=41	=41
2	0	0	rue
4	0	0	R
16	0	0	R
24	1	0	Je
28	0	0	suis
20	0	0	po-
=42	=42	=42	=42
2	0	0	-sé
4	0	0	R
4	0	0	je
2	0	0	marche
4	0	0	R
4	0	0	tran-
=43	=43	=43	=43
4	0	0	R
4	0	1	-quille
4	0	0	dans
4	0	0	la
2	0	1	ville
4	0	0	R
4	1	0	J'e-
=44	=44	=44	=44
8	0	0	R
20	0	0	-squive
4	0	0	les
4	0	0	ci-
4	0	1	-vils
4	0	0	et
4	0	0	re-
4	0	0	-ste
=45	=45	=45	=45
4	0	0	le
4	0	0	pa-
4	0	0	-tron
12	0	0	du
16	0	1	style
4	1	0	A
=46	=46	=46	=46
4	0	0	cha-
4	0	0	-cun
4	0	0	sa
4	0	0	ban-
2	0	0	-lieue
4	0	0	R
4	2	0	La
=47	=47	=47	=47
2	0	1	mienne
4	0	0	R
4	0	0	je
2	0	1	l'aime
4	0	0	R
4	0	0	et
=48	=48	=48	=48
2	0	0	elle
4	0	0	R
4	0	0	s'a-
2	0	1	-ppelle
2	0	0	R
=49	=49	=49	=49
4	0	0	le
12	0	0	dix
20	0	0	huit
16	0	1	'tième
8	0	0	R
4	0	0	R
2	0	0	R
=50	=50	=50	=50
0.5	0	0	R
=51	=51	=51	=51
0.5	0	0	R
=52	=52	=52	=52
0.5	0	0	R
=53	=53	=53	=53
0.5	0	0	R
=54	=54	=54	=54
0.5	0	0	R
=55	=55	=55	=55
0.5	0	0	R
=56	=56	=56	=56
0.5	0	0	R
=57	=57	=57	=57
0.5	0	0	R
=58	=58	=58	=58
0.5	0	0	R
=59	=59	=59	=59
0.5	0	0	R
=60	=60	=60	=60
0.5	0	0	R
=61	=61	=61	=61
0.5	0	0	R
=62	=62	=62	=62
0.5	0	0	R
=63	=63	=63	=63
0.5	0	0	R
=64	=64	=64	=64
0.5	0	0	R
=65	=65	=65	=65
1	0	0	R
4	0	0	R
*>Verse4	*>Verse4	*>Verse4	*>Verse4
12	1	0	Dans
4	0	0	ma
=66	=66	=66	=66
2	0	0	rue
4	0	0	R
20	1	0	Pour
16	0	0	co-
16	0	0	-mmu-
20	0	0	-ni-
=67	=67	=67	=67
20	0	0	-quer
32	0	0	il
20	0	0	faut
20	0	0	ê-
12	0	0	-tre
4	0	0	tri-
=68	=68	=68	=68
2	0	1	-lingue
4	0	0	R
4	1	0	Et
20	0	0	faire
32	0	0	a-
20	0	0	-tten-
16	0	0	-tion
=69	=69	=69	=69
4	0	0	R
12	0	0	quand
12	0	0	on
4	0	0	marche
12	0	0	sur
4	0	0	des
=70	=70	=70	=70
8	0	0	R
16	0	1	s'ringues
20	1	0	Se
16	0	0	mé-
16	0	0	-fier
20	0	0	des
=71	=71	=71	=71
2	0	1	dingues
8	0	0	R
20	0	0	qui
4	0	0	so-
16	0	0	-rtent
20	0	0	leurs
=72	=72	=72	=72
8	0	0	R
16	0	1	flingues
4	0	0	R
2	0	0	R
4	0	0	R
12	1	0	Dans
4	0	0	ma
=73	=73	=73	=73
2	0	0	rue
4	0	0	R
4	1	0	Les
4	0	0	pé-
4	0	0	-ri-
4	0	0	-pa-
4	0	0	-thé-
=74	=74	=74	=74
2	0	0	-ti-
2	0	0	-ciennes
2	0	1	craquent
4	0	0	pour
4	0	0	du
=75	=75	=75	=75
2	0	1	crack
4	0	0	R
4	1	0	Les
4	0	0	pom-
4	0	0	-piers
4	0	0	les
4	0	0	ré-
=76	=76	=76	=76
4	0	0	-veillent
12	0	0	en
20	0	0	leur
16	0	0	me-
16	0	0	-ttant
20	0	0	des
=77	=77	=77	=77
2	0	1	claques
4	0	0	R
4	1	0	Per-
4	0	0	-sonne
4	0	0	ne
4	0	0	veut
4	0	0	ten-
=78	=78	=78	=78
2	0	0	-ter
2	0	0	R
4	0	0	le
12	0	1	bouche
4	0	0	à
=79	=79	=79	=79
2	0	1	bouche
4	0	0	R
4	1	0	Les
20	0	0	clo-
32	0	0	-dos
20	0	0	s'é-
16	0	0	-chappent
=80	=80	=80	=80
4	0	0	R
16	0	0	pour
20	0	0	ne
4	0	0	pas
12	0	0	prendre
4	0	0	de
=81	=81	=81	=81
2	0	1	douche
2	0	0	R
4	0	0	R
8	1	0	Dans
4	0	0	ma
=82	=82	=82	=82
2	0	0	rue
4	0	0	R
20	1	0	Le
16	0	0	ven-
16	0	0	-deur
20	0	0	de
=83	=83	=83	=83
16	0	0	grec
32	0	0	veut
20	0	0	nous
20	0	0	em-
16	0	0	-poi-
20	0	0	-so-
=84	=84	=84	=84
2	0	1	-nner
4	0	0	R
20	1	0	Sa
16	0	0	viande
16	0	0	est
20	0	0	bi-
=85	=85	=85	=85
20	0	0	-zarre
32	0	0	son
12	0	0	huile
20	0	0	est
32	0	0	pé-
12	0	0	-ri-
=86	=86	=86	=86
2	0	1	-mée
4	0	0	R
4	1	0	Comme
4	0	0	moi
16	0	0	l'é-
20	0	0	-pi-
=87	=87	=87	=87
20	0	1	-cier
32	0	0	fait
12	0	0	ses
20	0	0	courses
32	0	0	à
12	0	0	E
=88	=88	=88	=88
2	0	1	D
4	1	0	Il
4	0	0	m're-
4	0	0	-vend
4	0	0	les
4	0	0	memes
4	0	0	pro-
=89	=89	=89	=89
2	0	1	-duits
4	0	0	que
4	0	0	j'a-
4	0	0	-chète
4	0	0	l'a-
4	0	0	-près-
4	0	0	mi-
=90	=90	=90	=90
2	0	1	-di
2	0	0	R
20	1	0	quatre
32	0	0	ou
20	0	0	5
16	0	0	fois
=91	=91	=91	=91
2	0	0	R
4	0	0	R
4	0	0	plus
10	0	0	cher
20	0	0	la
=92	=92	=92	=92
20	0	1	nuit
20	0	0	dans
20	0	0	ma
16	0	0	rue
8	0	0	R
4	0	0	R
4	0	0	R
4	1	0	Ca
=93	=93	=93	=93
2	0	0	vole
4	0	0	R
4	0	0	ca
2	0	0	viole
4	0	0	R
4	0	0	mais
=94	=94	=94	=94
16	0	0	R
28	0	0	qu'est-
4	0	0	-c'que
20	0	0	tu
16	0	1	veux
8	0	0	R
4	0	0	R
8	0	0	R
20	1	0	A
=95	=95	=95	=95
20	0	0	cha-
32	0	0	-cun
12	0	0	sa
4	0	0	ban-
4	0	1	-lieue
4	0	0	R
4	0	0	la
=96	=96	=96	=96
4	0	0	mie-
4	0	1	-nne
4	0	0	je
4	0	0	l'ai-
2	0	1	-me
4	0	0	R
4	2	0	Et
=97	=97	=97	=97
2	0	0	elle
20	0	0	s'a-
32	0	0	-pe-
8	0	1	-lle
4	0	0	R
2	0	0	R
=98	=98	=98	=98
0.5	0	0	R
=99	=99	=99	=99
0.5	0	0	R
=100	=100	=100	=100
0.5	0	0	R
=101	=101	=101	=101
0.5	0	0	R
=102	=102	=102	=102
0.5	0	0	R
=103	=103	=103	=103
0.5	0	0	R
=104	=104	=104	=104
0.5	0	0	R
=105	=105	=105	=105
0.5	0	0	R
=106	=106	=106	=106
0.5	0	0	R
=107	=107	=107	=107
0.5	0	0	R
=108	=108	=108	=108
0.5	0	0	R
=109	=109	=109	=109
0.5	0	0	R
=110	=110	=110	=110
0.5	0	0	R
=111	=111	=111	=111
0.5	0	0	R
=112	=112	=112	=112
0.5	0	0	R
=113	=113	=113	=113
0.5	0	0	R
=114	=114	=114	=114
*>Verse5	*>Verse5	*>Verse5	*>Verse5
4	1	0	Porte
4	0	0	de
4	0	0	la
4	0	0	Cha-
16	0	0	R
16	0	0	-pelle
8	0	0	R
4	0	0	R
2	0	0	R
=115	=115	=115	=115
4	0	0	ou
4	0	0	ter-
8	0	0	R
8	0	0	-mi-
4	0	0	R
2	0	1	-nus
2	0	0	R
=116	=116	=116	=116
4	1	0	Tout
8	0	0	l'monde
4	0	0	R
4	0	0	de-
2	0	0	-scend
4	0	0	R
8	0	0	reste
=117	=117	=117	=117
4	0	0	R
4	0	0	ou
4	0	0	prend
4	0	0	son
2	0	1	bus
2	0	0	R
=118	=118	=118	=118
2	1	0	Bien-
2	0	0	-ve-
2	0	1	-nue
2	0	0	R
=119	=119	=119	=119
2	0	0	dans
2	0	0	ma
2	0	1	rue
4	2	0	Où
4	0	0	la
=120	=120	=120	=120
4	0	0	crasse
4	0	0	colle
4	0	0	à
4	0	0	tes
4	0	0	pieds
4	0	0	sur
4	0	0	le
4	0	0	tro-
=121	=121	=121	=121
4	0	0	-ttoir
4	0	0	comme
4	0	0	de
4	0	0	la
2	0	1	glue
2	0	0	R
=122	=122	=122	=122
2	1	0	Bien-
2	0	0	-ve-
2	0	0	-nue
2	0	0	R
=123	=123	=123	=123
2	0	0	dans
2	0	0	ma
2	0	0	rue
4	2	0	Où
4	0	0	les
=124	=124	=124	=124
16	0	0	R
4	0	0	pi-
16	0	0	-geons
8	0	0	R
4	0	0	R
4	0	0	meurent
2	0	0	R
4	0	0	R
4	0	0	dans
=125	=125	=125	=125
16	0	0	R
4	0	0	le
16	0	0	R
8	0	0	ca-
8	0	0	R
16	0	0	-ni-
4	0	0	R
2	0	1	-veau
4	0	0	R
4	1	0	A
=126	=126	=126	=126
4	0	0	for-
4	0	0	-ce
4	0	0	de
4	0	0	man-
4	0	0	-ger
4	0	0	du
4	0	0	dé-
4	0	0	-gueu-
=127	=127	=127	=127
4	0	0	-lis
4	0	0	de
4	0	0	to-
4	0	0	-xi-
2	0	1	-co
4	1	0	Dans
16	0	0	R
16	0	0	ma
8	0	0	R
=128	=128	=128	=128
16	0	0	R
16	0	0	rue
8	0	0	R
4	0	0	R
2	0	0	R
4	0	0	au-
8	0	0	-tant
4	0	0	R
4	0	0	de
=129	=129	=129	=129
2	0	0	flics
4	0	0	R
4	0	0	que
4	0	0	de
8	0	0	mecs
4	0	0	R
4	0	0	co-
=130	=130	=130	=130
2	0	0	-cu
4	0	0	R
4	1	0	Le
4	0	0	coi-
16	0	0	R
16	0	0	-ffeur
8	0	0	R
8	0	0	R
4	0	0	ra-
16	0	0	R
16	0	0	-conte
=131	=131	=131	=131
2	0	0	R
4	0	0	R
4	0	0	des
4	0	0	blagues
8	0	0	aux
4	0	0	R
4	0	0	dea-
=132	=132	=132	=132
2	0	1	-lers
4	0	0	R
8	1	0	Les
4	0	0	R
4	0	0	po-
8	0	0	R
8	0	0	-li-
4	0	0	R
=133	=133	=133	=133
4	0	0	-ciers
16	0	0	R
16	0	0	donnent
8	0	0	R
8	0	0	R
4	0	0	des
16	0	0	R
16	0	0	planques
4	0	0	R
16	0	0	R
16	0	0	aux
8	0	0	R
8	0	0	R
8	0	0	vo-
4	0	0	R
=134	=134	=134	=134
2	0	1	-leurs
8	0	0	R
8	1	0	Le
8	0	0	fa-
8	0	0	R
8	0	0	-cteur
4	0	0	R
4	0	0	aide
8	0	0	le
8	0	0	ma-
=135	=135	=135	=135
8	0	0	R
8	0	0	-cro
4	0	0	R
16	0	0	R
8	0	0	à
4	0	0	rel'-
4	0	0	-ver
8	0	0	les
4	0	0	R
4	0	0	comp-
=136	=136	=136	=136
2	0	1	-teurs
8	0	0	R
4	1	0	J'ai
16	0	0	é-
4	0	0	R
8	0	0	-té
8	0	0	R
16	0	0	é-
4	0	0	R
=137	=137	=137	=137
2	0	1	-lu
4	0	0	pré-
4	0	0	-si-
4	0	0	-dent
8	0	0	de
8	0	0	R
16	0	0	ma
4	0	0	R
=138	=138	=138	=138
2	0	1	rue
4	0	0	R
4	1	0	J'ai
4	0	0	pla-
4	0	0	-cé
4	0	0	mes
4	0	0	mi-
=139	=139	=139	=139
2	0	0	-nistres
4	0	0	R
4	0	0	tout
4	0	0	l'monde
4	0	0	est
4	0	0	co-
4	0	0	-rrom-
=140	=140	=140	=140
2	0	1	-pu!
2	0	0	R
1	0	0	R
=141	=141	=141	=141
1	0	0	R
4	0	0	R
*>Verse6	*>Verse6	*>Verse6	*>Verse6
4	1	0	A
8	0	0	R
8	0	0	cha-
4	0	0	R
=142	=142	=142	=142
2	0	0	-cun
4	0	0	R
4	0	0	sa
4	0	0	ban-
4	0	0	-lieue
4	0	0	R
16	0	0	R
16	0	0	la
8	0	0	R
=143	=143	=143	=143
16	0	0	R
16	0	1	mienne
8	0	0	R
4	0	0	R
4	0	0	R
4	0	0	je
2	0	1	l'aime
4	0	0	R
16	0	0	R
16	2	0	Et
8	0	0	R
=144	=144	=144	=144
16	0	0	R
16	0	0	elle
8	0	0	R
4	0	0	R
4	0	0	R
4	0	0	s'a-
2	0	1	-pelle
2	0	0	R
=145	=145	=145	=145
4	0	0	le
8	0	0	dix
4	0	0	R
4	0	0	huit
8	0	0	R
8	0	1	'tième
4	0	0	R
2	0	0	R
